id	gene	type	rowno	test_code
51802	SETBP1	genetic	NULL	LPE639
51804	SF3B4	genetic	NULL	LPE639
51811	SIX1	genetic	NULL	LPE639
51827	SLCO2A1	genetic	NULL	LPE639
51845	SNRPB	genetic	NULL	LPE639
51892	TALDO1	genetic	NULL	LPE639
51895	TBCE	genetic	NULL	LPE639
51926	TMEM237	genetic	NULL	LPE639
51930	TNFRSF11B	genetic	NULL	LPE639
51951	TTC8	genetic	NULL	LPE639
51959	UBR1	genetic	NULL	LPE639
51961	UFD1	genetic	NULL	LPE639
51971	WNT10B	genetic	NULL	LPE639
51982	XYLT2	genetic	NULL	LPE639
51988	ZEB2	genetic	NULL	LPE639
52004	ACE	genetic	NULL	LPE517
52005	ACLY	genetic	NULL	LPE517
52009	ACTG2	genetic	NULL	LPE517
52024	ALG1	genetic	NULL	LPE517
52043	APOPT1	genetic	NULL	LPE517
52092	C1QA	genetic	NULL	LPE517
52095	C1QC	genetic	NULL	LPE517
52128	CEP290	genetic	NULL	LPE517
52131	CFH	genetic	NULL	LPE517
52153	COG6	genetic	NULL	LPE517
52158	COL4A6	genetic	NULL	LPE517
52166	COX10	genetic	NULL	LPE517
52171	COX7B	genetic	NULL	LPE517
52180	CUL3	genetic	NULL	LPE517
52188	DACH1	genetic	NULL	LPE517
52203	DNA2	genetic	NULL	LPE517
52205	DMP1	genetic	NULL	LPE517
52212	DYNC2H1	genetic	NULL	LPE517
52223	ENPP1	genetic	NULL	LPE517
52243	FAN1	genetic	NULL	LPE517
52292	GATM	genetic	NULL	LPE517
52295	GCM2	genetic	NULL	LPE517
52330	HNF1B	genetic	NULL	LPE517
52334	HOXD13	genetic	NULL	LPE517
52349	IFT43	genetic	NULL	LPE517
52357	INSR	genetic	NULL	LPE517
52365	JAG1	genetic	NULL	LPE517
52370	KANSL1	genetic	NULL	LPE517
52380	KCNJ5	genetic	NULL	LPE517
52391	KMT2D	genetic	NULL	LPE517
52400	LHX1	genetic	NULL	LPE517
52403	LMBRD1	genetic	NULL	LPE517
52416	MAFB	genetic	NULL	LPE517
52422	MEFV	genetic	NULL	LPE517
